A	PROTO-CUNEIFORM SIGN A
TUR~v3	PROTO-CUNEIFORM SIGN TUR VARIANT 3
TUR@g	PROTO-CUNEIFORM SIGN TUR GUNU
|TUR~v1×X|	PROTO-CUNEIFORM SIGN TUR VARIANT 1 TIMES X
TUR₃~a	PROTO-CUNEIFORM SIGN TUR3-A
TUR₃~b	PROTO-CUNEIFORM SIGN TUR3-B
TUR₃~c	PROTO-CUNEIFORM SIGN TUR3-C
|TUR₃~b×TAK₄~a|	PROTO-CUNEIFORM SIGN TUR3-B TIMES TAK4-A
TUR₃~a@n	PROTO-CUNEIFORM SIGN TUR3-A NUTILLU
U₂~a	PROTO-CUNEIFORM SIGN U2-A
U₂~b	PROTO-CUNEIFORM SIGN U2-B
U₂~b~v1	PROTO-CUNEIFORM SIGN U2-B VARIANT 1
U₂~b~v2	PROTO-CUNEIFORM SIGN U2-B VARIANT 2
U₂~c	PROTO-CUNEIFORM SIGN U2-C
U₄	PROTO-CUNEIFORM SIGN U4
|U₄.1(N08)|	PROTO-CUNEIFORM SIGN U4 BESIDE ONE-N8
|U₄.2(N08)|	PROTO-CUNEIFORM SIGN U4 BESIDE TWO-N8
|U₄.3(N08)|	PROTO-CUNEIFORM SIGN U4 BESIDE THREE-N8
|U₄.4(N08)~v1|	PROTO-CUNEIFORM SIGN U4 BESIDE FOUR-N8 VARIANT 1
|U₄.5(N08)|	PROTO-CUNEIFORM SIGN U4 BESIDE FIVE-N8
|U₄.6(N08)|	PROTO-CUNEIFORM SIGN U4 BESIDE SIX-N8
|U₄.7(N08)|	PROTO-CUNEIFORM SIGN U4 BESIDE SEVEN-N8
|U₄.8(N08)|	PROTO-CUNEIFORM SIGN U4 BESIDE EIGHT-N8
|U₄.1(N14)|	PROTO-CUNEIFORM SIGN U4 BESIDE ONE-N14
|U₄.(1(N14).3(N08))|	PROTO-CUNEIFORM SIGN U4 BESIDE ONE-N14 PLUS THREE-N8
|U₄.(1(N14).4(N08))|	PROTO-CUNEIFORM SIGN U4 BESIDE ONE-N14 PLUS FOUR-N8
|U₄.(1(N14).5(N08))|	PROTO-CUNEIFORM SIGN U4 BESIDE ONE-N14 PLUS FIVE-N8
|U₄.(1(N14).8(N08))|	PROTO-CUNEIFORM SIGN U4 BESIDE ONE-N14 PLUS EIGHT-N8
|U₄.2(N14)|	PROTO-CUNEIFORM SIGN U4 BESIDE TWO-N14
|U₄.ŠU₂~b|	PROTO-CUNEIFORM SIGN U4 BESIDE SHU2-B
|U₄×1(N01)|	PROTO-CUNEIFORM SIGN U4 TIMES ONE-N1
|U₄×1(N01).5(N08)|	PROTO-CUNEIFORM SIGN U4 TIMES ONE-N1 BESIDE FIVE-N8
|U₄×1(N01@f)|	PROTO-CUNEIFORM SIGN U4 TIMES ONE-N1 FLAT
|U₄×2(N01)|	PROTO-CUNEIFORM SIGN U4 TIMES TWO-N1
|U₄×2(N01).2(N14)|	PROTO-CUNEIFORM SIGN U4 TIMES TWO-N1 BESIDE TWO-N14
|U₄×2(N01).(2(N14).1(N08))|	PROTO-CUNEIFORM SIGN U4 TIMES TWO-N1 BESIDE TWO-N14 PLUS ONE-N8
|U₄×2(N01).X|	PROTO-CUNEIFORM SIGN U4 TIMES TWO-N1 BESIDE X
|U₄×3(N01)|	PROTO-CUNEIFORM SIGN U4 TIMES THREE-N1
|U₄×3(N01).3(N08)~v1|	PROTO-CUNEIFORM SIGN U4 TIMES THREE-N1 BESIDE THREE-N8 VARIANT 1
|U₄×4(N01)|	PROTO-CUNEIFORM SIGN U4 TIMES FOUR-N1
|U₄×4(N01).2(N14)|	PROTO-CUNEIFORM SIGN U4 TIMES FOUR-N1 BESIDE TWO-N14
|U₄×5(N01)|	PROTO-CUNEIFORM SIGN U4 TIMES FIVE-N1
|U₄×5(N01).1(N14)|	PROTO-CUNEIFORM SIGN U4 TIMES FIVE-N1 BESIDE ONE-N14
|U₄×6(N01)|	PROTO-CUNEIFORM SIGN U4 TIMES SIX-N1
|U₄×8(N01)|	PROTO-CUNEIFORM SIGN U4 TIMES EIGHT-N1
|U₄×8(N01).X|	PROTO-CUNEIFORM SIGN U4 TIMES EIGHT-N1 BESIDE X
|U₄×N(N01)|	PROTO-CUNEIFORM SIGN U4 TIMES N-N1
|U₄×1(N14)|	PROTO-CUNEIFORM SIGN U4 TIMES ONE-N14
|U₄×(1(N14).2(N01))|	PROTO-CUNEIFORM SIGN U4 TIMES ONE-N14 PLUS TWO-N1
|U₄×(1(N14).4(N01))|	PROTO-CUNEIFORM SIGN U4 TIMES ONE-N14 PLUS FOUR-N1
|U₄×(1(N14).8(N01))|	PROTO-CUNEIFORM SIGN U4 TIMES ONE-N14 PLUS EIGHT-N1
|U₄×2(N14)|	PROTO-CUNEIFORM SIGN U4 TIMES TWO-N14
|U₄×(2(N14).4(N01))|	PROTO-CUNEIFORM SIGN U4 TIMES TWO-N14 PLUS FOUR-N1
|U₄×(3(N14).2(N01))|	PROTO-CUNEIFORM SIGN U4 TIMES THREE-N14 PLUS TWO-N1
|U₄×(3(N14).7(N01))|	PROTO-CUNEIFORM SIGN U4 TIMES THREE-N14 PLUS SEVEN-N1
|U₄×1(N57)|	PROTO-CUNEIFORM SIGN U4 TIMES ONE-N57
|U₄×2(N57)|	PROTO-CUNEIFORM SIGN U4 TIMES TWO-N57
|U₄×3(N57)|	PROTO-CUNEIFORM SIGN U4 TIMES THREE-N57
|U₄×4(N57)|	PROTO-CUNEIFORM SIGN U4 TIMES FOUR-N57
|U₄×5(N57)|	PROTO-CUNEIFORM SIGN U4 TIMES FIVE-N57
|U₄×6(N57)|	PROTO-CUNEIFORM SIGN U4 TIMES SIX-N57
|U₄×7(N57)|	PROTO-CUNEIFORM SIGN U4 TIMES SEVEN-N57
|U₄×8(N57)|	PROTO-CUNEIFORM SIGN U4 TIMES EIGHT-N57
|U₄×10(N57)|	PROTO-CUNEIFORM SIGN U4 TIMES ONE-N57
|U₄×1(N58@t)|	PROTO-CUNEIFORM SIGN U4 TIMES ONE-N58 TENU
|U₄×X|	PROTO-CUNEIFORM SIGN U4 TIMES X
|U₄×(X+2(N01))|	PROTO-CUNEIFORM SIGN U4 TIMES X JOINING TWO-N1
U₈	PROTO-CUNEIFORM SIGN U8
U₈~v1	PROTO-CUNEIFORM SIGN U8 VARIANT 1
U₈~v2	PROTO-CUNEIFORM SIGN U8 VARIANT 2
U₈~v3	PROTO-CUNEIFORM SIGN U8 VARIANT 3
|U₈×TAR~b|	PROTO-CUNEIFORM SIGN U8 TIMES TAR-B
U₄@t	PROTO-CUNEIFORM SIGN U4 TENU
UB	PROTO-CUNEIFORM SIGN UB
UBI~a	PROTO-CUNEIFORM SIGN UBI-A
UBI~c	PROTO-CUNEIFORM SIGN UBI-C
UBI~c~v1	PROTO-CUNEIFORM SIGN UBI-C VARIANT 1
UD₅~a	PROTO-CUNEIFORM SIGN UD5-A
UD₅~a~v1	PROTO-CUNEIFORM SIGN UD5-A VARIANT 1
UD₅~a~v2	PROTO-CUNEIFORM SIGN UD5-A VARIANT 2
UD₅~b	PROTO-CUNEIFORM SIGN UD5-B
UD₅~c	PROTO-CUNEIFORM SIGN UD5-C
UD₅~a@g	PROTO-CUNEIFORM SIGN UD5-A GUNU
UDU~a	PROTO-CUNEIFORM SIGN UDU-A
UDU~b	PROTO-CUNEIFORM SIGN UDU-B
UDU~c	PROTO-CUNEIFORM SIGN UDU-C
|UDU~a×TAR~a|	PROTO-CUNEIFORM SIGN UDU-A TIMES TAR-A
|UDU~a×TAR~b|	PROTO-CUNEIFORM SIGN UDU-A TIMES TAR-B
UDUNITA~a	PROTO-CUNEIFORM SIGN UDUNITA-A
UDUNITA~b	PROTO-CUNEIFORM SIGN UDUNITA-B
UDUNITA~c	PROTO-CUNEIFORM SIGN UDUNITA-C
UH	PROTO-CUNEIFORM SIGN UH
UH₃~a	PROTO-CUNEIFORM SIGN UH3-A
UH₃~b	PROTO-CUNEIFORM SIGN UH3-B
UH₃~a@t	PROTO-CUNEIFORM SIGN UH3-A TENU
UKKIN~a	PROTO-CUNEIFORM SIGN UKKIN-A
UKKIN~a~v1	PROTO-CUNEIFORM SIGN UKKIN-A VARIANT 1
UKKIN~b	PROTO-CUNEIFORM SIGN UKKIN-B
UKKIN~b~v1	PROTO-CUNEIFORM SIGN UKKIN-B VARIANT 1
UKKIN~c	PROTO-CUNEIFORM SIGN UKKIN-C
|UKKIN~b×DIN|	PROTO-CUNEIFORM SIGN UKKIN-B TIMES DIN
|UKKIN~b×(DIN.1(N01))|	PROTO-CUNEIFORM SIGN UKKIN-B TIMES DIN PLUS ONE-N1
|UKKIN~b×DUG~a|	PROTO-CUNEIFORM SIGN UKKIN-B TIMES DUG-A
|UKKIN~b×HI@g~a|	PROTO-CUNEIFORM SIGN UKKIN-B TIMES HI GUNU-A
|UKKIN~b×2(N01)|	PROTO-CUNEIFORM SIGN UKKIN-B TIMES TWO-N1
|UKKIN~b×3(N01)|	PROTO-CUNEIFORM SIGN UKKIN-B TIMES THREE-N1
|UKKIN~b×5(N01)|	PROTO-CUNEIFORM SIGN UKKIN-B TIMES FIVE-N1
|UKKIN~b×NI~a|	PROTO-CUNEIFORM SIGN UKKIN-B TIMES NI-A
|UKKIN~b×X|	PROTO-CUNEIFORM SIGN UKKIN-B TIMES X
UMBIN~a	PROTO-CUNEIFORM SIGN UMBIN-A
UMBIN~b1	PROTO-CUNEIFORM SIGN UMBIN-B1
UMBIN~b2	PROTO-CUNEIFORM SIGN UMBIN-B2
UMBIN~c	PROTO-CUNEIFORM SIGN UMBIN-C
UMUN₂	PROTO-CUNEIFORM SIGN UMUN2
UMUN₂~v1	PROTO-CUNEIFORM SIGN UMUN2 VARIANT 1
UNUG~a	PROTO-CUNEIFORM SIGN UNUG-A
UNUG~a~v1	PROTO-CUNEIFORM SIGN UNUG-A VARIANT 1
UNUG~b	PROTO-CUNEIFORM SIGN UNUG-B
UNUG~c	PROTO-CUNEIFORM SIGN UNUG-C
|UNUG~a~v1×A@t|	PROTO-CUNEIFORM SIGN UNUG-A VARIANT 1 TIMES A TENU
UNUG~a@s	PROTO-CUNEIFORM SIGN UNUG-A SHESHIG
UR~a	PROTO-CUNEIFORM SIGN UR-A
UR~b	PROTO-CUNEIFORM SIGN UR-B
UR~c	PROTO-CUNEIFORM SIGN UR-C
|UR~a×KAR₂~b|	PROTO-CUNEIFORM SIGN UR-A TIMES KAR2-B
UR~a@g	PROTO-CUNEIFORM SIGN UR-A GUNU
UR₂	PROTO-CUNEIFORM SIGN UR2
|UR₂×1(N57)|	PROTO-CUNEIFORM SIGN UR2 TIMES ONE-N57
|UR₂×TAR~c|	PROTO-CUNEIFORM SIGN UR2 TIMES TAR-C
UR₃~a1	PROTO-CUNEIFORM SIGN UR3-A1
UR₃~a1~v1	PROTO-CUNEIFORM SIGN UR3-A1 VARIANT 1
UR₃~a2	PROTO-CUNEIFORM SIGN UR3-A2
UR₃~a3	PROTO-CUNEIFORM SIGN UR3-A3
UR₃~b1	PROTO-CUNEIFORM SIGN UR3-B1
UR₃~b2	PROTO-CUNEIFORM SIGN UR3-B2
|UR₃~b1×MAŠ|	PROTO-CUNEIFORM SIGN UR3-B1 TIMES MASH
UR₄~a	PROTO-CUNEIFORM SIGN UR4-A
UR₄~b	PROTO-CUNEIFORM SIGN UR4-B
UR₄~c	PROTO-CUNEIFORM SIGN UR4-C
UR₅~a	PROTO-CUNEIFORM SIGN UR5-A
UR₅~b	PROTO-CUNEIFORM SIGN UR5-B
URI	PROTO-CUNEIFORM SIGN URI
URI₂	PROTO-CUNEIFORM SIGN URI2
URI₃~a	PROTO-CUNEIFORM SIGN URI3-A
URI₃~a~v1	PROTO-CUNEIFORM SIGN URI3-A VARIANT 1
URI₃~b	PROTO-CUNEIFORM SIGN URI3-B
|URI₃~a+IB~a|	PROTO-CUNEIFORM SIGN URI3-A JOINING IB-A
URI₅	PROTO-CUNEIFORM SIGN URI5
URU~a1	PROTO-CUNEIFORM SIGN URU-A1
URU~a2	PROTO-CUNEIFORM SIGN URU-A2
URU~b1	PROTO-CUNEIFORM SIGN URU-B1
URU~b2	PROTO-CUNEIFORM SIGN URU-B2
URU~c	PROTO-CUNEIFORM SIGN URU-C
|URU~a1×A|	PROTO-CUNEIFORM SIGN URU-A1 TIMES A
|URU~a1×AMAR~v2|	PROTO-CUNEIFORM SIGN URU-A1 TIMES AMAR VARIANT 2
|URU~a1×GU₄|	PROTO-CUNEIFORM SIGN URU-A1 TIMES GU4
|URU~a1×HI@g~a|	PROTO-CUNEIFORM SIGN URU-A1 TIMES HI GUNU-A
|URU~a3×KALAM~a|	PROTO-CUNEIFORM SIGN URU-A3 TIMES KALAM-A
|URU~a1×1(N57)|	PROTO-CUNEIFORM SIGN URU-A1 TIMES ONE-N57
|URU~a1×2(N57)|	PROTO-CUNEIFORM SIGN URU-A1 TIMES TWO-N57
|URU~a2×1(N58)|	PROTO-CUNEIFORM SIGN URU-A2 TIMES ONE-N58
|URU~a1×NIMGIR|	PROTO-CUNEIFORM SIGN URU-A1 TIMES NIMGIR
|URU~a1×U₄|	PROTO-CUNEIFORM SIGN URU-A1 TIMES U4
|URU~a1×X|	PROTO-CUNEIFORM SIGN URU-A1 TIMES X
URU~a1@n	PROTO-CUNEIFORM SIGN URU-A1 NUTILLU
URUDU~a	PROTO-CUNEIFORM SIGN URUDU-A
URUDU~a~v1	PROTO-CUNEIFORM SIGN URUDU-A VARIANT 1
URUDU~a~v2	PROTO-CUNEIFORM SIGN URUDU-A VARIANT 2
URUDU~c	PROTO-CUNEIFORM SIGN URUDU-C
URUDU~d	PROTO-CUNEIFORM SIGN URUDU-D
URUDU@g~a	PROTO-CUNEIFORM SIGN URUDU GUNU-A
URUDU@g~b	PROTO-CUNEIFORM SIGN URUDU GUNU-B
URUDU@g~c	PROTO-CUNEIFORM SIGN URUDU GUNU-C
URUDU@g~d	PROTO-CUNEIFORM SIGN URUDU GUNU-D
UŠ~a	PROTO-CUNEIFORM SIGN USH-A
UŠ~b	PROTO-CUNEIFORM SIGN USH-B
UŠ~b~v1	PROTO-CUNEIFORM SIGN USH-B VARIANT 1
|UŠ~b×TAR~c|	PROTO-CUNEIFORM SIGN USH-B TIMES TAR-C
|UŠ~b×TAR~d|	PROTO-CUNEIFORM SIGN USH-B TIMES TAR-D
|UŠ~b~v2×TAR~c|	PROTO-CUNEIFORM SIGN USH-B VARIANT 2 TIMES TAR-C
|UŠ~a&UŠ~a|	PROTO-CUNEIFORM SIGN USH-A OVER USH-A
|UŠ~b&UŠ~b|	PROTO-CUNEIFORM SIGN USH-B OVER USH-B
UŠUMGAL	PROTO-CUNEIFORM SIGN USHUMGAL
UŠUR₃~a	PROTO-CUNEIFORM SIGN USHUR3-A
UŠUR₃~b1	PROTO-CUNEIFORM SIGN USHUR3-B1
UŠUR₃~b2	PROTO-CUNEIFORM SIGN USHUR3-B2
UTUA~a	PROTO-CUNEIFORM SIGN UTUA-A
UTUA~b	PROTO-CUNEIFORM SIGN UTUA-B
UTUA~b~v1	PROTO-CUNEIFORM SIGN UTUA-B VARIANT 1
UTUA~a@t	PROTO-CUNEIFORM SIGN UTUA-A TENU
UTUL~a	PROTO-CUNEIFORM SIGN UTUL-A
UTUL~b	PROTO-CUNEIFORM SIGN UTUL-B
UTUL~c	PROTO-CUNEIFORM SIGN UTUL-C
UTUL~d	PROTO-CUNEIFORM SIGN UTUL-D
UZ~a	PROTO-CUNEIFORM SIGN UZ-A
UZU	PROTO-CUNEIFORM SIGN UZU
|X(N57).GAR|	PROTO-CUNEIFORM SIGN X-N57 BESIDE GAR
ZA~v	PROTO-CUNEIFORM SIGN ZA-V
ZABALAM~a	PROTO-CUNEIFORM SIGN ZABALAM-A
ZABALAM~b	PROTO-CUNEIFORM SIGN ZABALAM-B
ZADIM	PROTO-CUNEIFORM SIGN ZADIM
ZAG~a	PROTO-CUNEIFORM SIGN ZAG-A
ZAG~a~v1	PROTO-CUNEIFORM SIGN ZAG-A VARIANT 1
ZAG~b	PROTO-CUNEIFORM SIGN ZAG-B
ZAG~c	PROTO-CUNEIFORM SIGN ZAG-C
ZAR~a	PROTO-CUNEIFORM SIGN ZAR-A
ZAR~b1	PROTO-CUNEIFORM SIGN ZAR-B1
ZAR~b2	PROTO-CUNEIFORM SIGN ZAR-B2
ZAR~c	PROTO-CUNEIFORM SIGN ZAR-C
ZATU620	PROTO-CUNEIFORM SIGN ZATU620
ZATU621~a	PROTO-CUNEIFORM SIGN ZATU621-A
ZATU621~b	PROTO-CUNEIFORM SIGN ZATU621-B
ZATU621~c	PROTO-CUNEIFORM SIGN ZATU621-C
ZATU621~d	PROTO-CUNEIFORM SIGN ZATU621-D
ZATU622	PROTO-CUNEIFORM SIGN ZATU622
ZATU623	PROTO-CUNEIFORM SIGN ZATU623
ZATU623~v1	PROTO-CUNEIFORM SIGN ZATU623 VARIANT 1
ZATU623~v2	PROTO-CUNEIFORM SIGN ZATU623 VARIANT 2
ZATU624~a	PROTO-CUNEIFORM SIGN ZATU624-A
ZATU624~b	PROTO-CUNEIFORM SIGN ZATU624-B
ZATU624~c	PROTO-CUNEIFORM SIGN ZATU624-C
ZATU625	PROTO-CUNEIFORM SIGN ZATU625
ZATU625~v1	PROTO-CUNEIFORM SIGN ZATU625 VARIANT 1
ZATU626~a	PROTO-CUNEIFORM SIGN ZATU626-A
ZATU626~b	PROTO-CUNEIFORM SIGN ZATU626-B
ZATU626~c	PROTO-CUNEIFORM SIGN ZATU626-C
ZATU627	PROTO-CUNEIFORM SIGN ZATU627
ZATU628~a	PROTO-CUNEIFORM SIGN ZATU628-A
ZATU628~a~v1	PROTO-CUNEIFORM SIGN ZATU628-A VARIANT 1
ZATU628~b	PROTO-CUNEIFORM SIGN ZATU628-B
ZATU629	PROTO-CUNEIFORM SIGN ZATU629
ZATU629~v1	PROTO-CUNEIFORM SIGN ZATU629 VARIANT 1
ZATU630	PROTO-CUNEIFORM SIGN ZATU630
ZATU631	PROTO-CUNEIFORM SIGN ZATU631
ZATU632~a	PROTO-CUNEIFORM SIGN ZATU632-A
ZATU632~a~v1	PROTO-CUNEIFORM SIGN ZATU632-A VARIANT 1
ZATU632~b	PROTO-CUNEIFORM SIGN ZATU632-B
ZATU632~c	PROTO-CUNEIFORM SIGN ZATU632-C
ZATU633~a	PROTO-CUNEIFORM SIGN ZATU633-A
ZATU633~b	PROTO-CUNEIFORM SIGN ZATU633-B
ZATU634	PROTO-CUNEIFORM SIGN ZATU634
ZATU635	PROTO-CUNEIFORM SIGN ZATU635
ZATU636	PROTO-CUNEIFORM SIGN ZATU636
ZATU636~v1	PROTO-CUNEIFORM SIGN ZATU636 VARIANT 1
ZATU637	PROTO-CUNEIFORM SIGN ZATU637
ZATU639	PROTO-CUNEIFORM SIGN ZATU639
ZATU640	PROTO-CUNEIFORM SIGN ZATU640
ZATU641	PROTO-CUNEIFORM SIGN ZATU641
ZATU642	PROTO-CUNEIFORM SIGN ZATU642
ZATU643	PROTO-CUNEIFORM SIGN ZATU643
ZATU644~a	PROTO-CUNEIFORM SIGN ZATU644-A
ZATU644~b	PROTO-CUNEIFORM SIGN ZATU644-B
|ZATU644~a×1(N14)|	PROTO-CUNEIFORM SIGN ZATU644-A TIMES ONE-N14
ZATU646	PROTO-CUNEIFORM SIGN ZATU646
ZATU647	PROTO-CUNEIFORM SIGN ZATU647
ZATU647~v1	PROTO-CUNEIFORM SIGN ZATU647 VARIANT 1
ZATU648	PROTO-CUNEIFORM SIGN ZATU648
ZATU649	PROTO-CUNEIFORM SIGN ZATU649
ZATU649~v1	PROTO-CUNEIFORM SIGN ZATU649 VARIANT 1
ZATU650	PROTO-CUNEIFORM SIGN ZATU650
ZATU651	PROTO-CUNEIFORM SIGN ZATU651
ZATU651~v1	PROTO-CUNEIFORM SIGN ZATU651 VARIANT 1
ZATU651~v2	PROTO-CUNEIFORM SIGN ZATU651 VARIANT 2
|ZATU651×AN|	PROTO-CUNEIFORM SIGN ZATU651 TIMES AN
|ZATU651×EN~a~v2|	PROTO-CUNEIFORM SIGN ZATU651 TIMES EN-A VARIANT 2
|ZATU651×GAR|	PROTO-CUNEIFORM SIGN ZATU651 TIMES GAR
|ZATU651×MA|	PROTO-CUNEIFORM SIGN ZATU651 TIMES MA
|ZATU651×NUN~a|	PROTO-CUNEIFORM SIGN ZATU651 TIMES NUN-A
|ZATU651~v2×ŠE~a|	PROTO-CUNEIFORM SIGN ZATU651 VARIANT 2 TIMES SHE-A
|ZATU651×X|	PROTO-CUNEIFORM SIGN ZATU651 TIMES X
|ZATU651×ZAR~c|	PROTO-CUNEIFORM SIGN ZATU651 TIMES ZAR-C
ZATU651@g	PROTO-CUNEIFORM SIGN ZATU651 GUNU
ZATU659	PROTO-CUNEIFORM SIGN ZATU659
|ZATU659×1(N01)|	PROTO-CUNEIFORM SIGN ZATU659 TIMES ONE-N1
|ZATU659×1(N14)|	PROTO-CUNEIFORM SIGN ZATU659 TIMES ONE-N14
|ZATU659×1(N58@t)|	PROTO-CUNEIFORM SIGN ZATU659 TIMES ONE-N58 TENU
ZATU662	PROTO-CUNEIFORM SIGN ZATU662
ZATU662~v1	PROTO-CUNEIFORM SIGN ZATU662 VARIANT 1
ZATU662~v2	PROTO-CUNEIFORM SIGN ZATU662 VARIANT 2
ZATU662~v3	PROTO-CUNEIFORM SIGN ZATU662 VARIANT 3
|ZATU662×1(N14)|	PROTO-CUNEIFORM SIGN ZATU662 TIMES ONE-N14
|ZATU662~v1×1(N14)|	PROTO-CUNEIFORM SIGN ZATU662 VARIANT 1 TIMES ONE-N14
|ZATU662~v2×1(N14)|	PROTO-CUNEIFORM SIGN ZATU662 VARIANT 2 TIMES ONE-N14
ZATU664	PROTO-CUNEIFORM SIGN ZATU664
ZATU665	PROTO-CUNEIFORM SIGN ZATU665
ZATU666	PROTO-CUNEIFORM SIGN ZATU666
ZATU667	PROTO-CUNEIFORM SIGN ZATU667
ZATU668	PROTO-CUNEIFORM SIGN ZATU668
ZATU669	PROTO-CUNEIFORM SIGN ZATU669
ZATU670	PROTO-CUNEIFORM SIGN ZATU670
ZATU672	PROTO-CUNEIFORM SIGN ZATU672
ZATU674	PROTO-CUNEIFORM SIGN ZATU674
ZATU675~a	PROTO-CUNEIFORM SIGN ZATU675-A
ZATU675~b	PROTO-CUNEIFORM SIGN ZATU675-B
ZATU675~b~v1	PROTO-CUNEIFORM SIGN ZATU675-B VARIANT 1
ZATU675~c	PROTO-CUNEIFORM SIGN ZATU675-C
ZATU675~d	PROTO-CUNEIFORM SIGN ZATU675-D
ZATU676~a	PROTO-CUNEIFORM SIGN ZATU676-A
ZATU676~b	PROTO-CUNEIFORM SIGN ZATU676-B
ZATU677~a	PROTO-CUNEIFORM SIGN ZATU677-A
ZATU677~b	PROTO-CUNEIFORM SIGN ZATU677-B
ZATU678	PROTO-CUNEIFORM SIGN ZATU678
ZATU679	PROTO-CUNEIFORM SIGN ZATU679
ZATU680~a1	PROTO-CUNEIFORM SIGN ZATU680-A1
ZATU680~a2	PROTO-CUNEIFORM SIGN ZATU680-A2
ZATU680~b	PROTO-CUNEIFORM SIGN ZATU680-B
ZATU680~b~v1	PROTO-CUNEIFORM SIGN ZATU680-B VARIANT 1
ZATU680~d	PROTO-CUNEIFORM SIGN ZATU680-D
ZATU680~e	PROTO-CUNEIFORM SIGN ZATU680-E
ZATU681	PROTO-CUNEIFORM SIGN ZATU681
ZATU682	PROTO-CUNEIFORM SIGN ZATU682
ZATU683~a	PROTO-CUNEIFORM SIGN ZATU683-A
ZATU683~b	PROTO-CUNEIFORM SIGN ZATU683-B
ZATU683@t	PROTO-CUNEIFORM SIGN ZATU683 TENU
ZATU684	PROTO-CUNEIFORM SIGN ZATU684
ZATU685	PROTO-CUNEIFORM SIGN ZATU685
ZATU686~a	PROTO-CUNEIFORM SIGN ZATU686-A
ZATU686~b	PROTO-CUNEIFORM SIGN ZATU686-B
ZATU686~c	PROTO-CUNEIFORM SIGN ZATU686-C
ZATU687	PROTO-CUNEIFORM SIGN ZATU687
ZATU688~a	PROTO-CUNEIFORM SIGN ZATU688-A
ZATU688~b	PROTO-CUNEIFORM SIGN ZATU688-B
ZATU689	PROTO-CUNEIFORM SIGN ZATU689
ZATU690	PROTO-CUNEIFORM SIGN ZATU690
ZATU691	PROTO-CUNEIFORM SIGN ZATU691
ZATU692	PROTO-CUNEIFORM SIGN ZATU692
ZATU693	PROTO-CUNEIFORM SIGN ZATU693
ZATU693~v1	PROTO-CUNEIFORM SIGN ZATU693 VARIANT 1
ZATU693~v2	PROTO-CUNEIFORM SIGN ZATU693 VARIANT 2
ZATU693@t	PROTO-CUNEIFORM SIGN ZATU693 TENU
ZATU694~a	PROTO-CUNEIFORM SIGN ZATU694-A
ZATU694~b	PROTO-CUNEIFORM SIGN ZATU694-B
ZATU694~c	PROTO-CUNEIFORM SIGN ZATU694-C
ZATU694~c~v1	PROTO-CUNEIFORM SIGN ZATU694-C VARIANT 1
ZATU694~d	PROTO-CUNEIFORM SIGN ZATU694-D
ZATU694~d@t	PROTO-CUNEIFORM SIGN ZATU694-D TENU
ZATU695	PROTO-CUNEIFORM SIGN ZATU695
ZATU696	PROTO-CUNEIFORM SIGN ZATU696
ZATU697~a	PROTO-CUNEIFORM SIGN ZATU697-A
ZATU697~a~v1	PROTO-CUNEIFORM SIGN ZATU697-A VARIANT 1
ZATU697~a~v2	PROTO-CUNEIFORM SIGN ZATU697-A VARIANT 2
ZATU697~a~v3	PROTO-CUNEIFORM SIGN ZATU697-A VARIANT 3
ZATU697~b	PROTO-CUNEIFORM SIGN ZATU697-B
ZATU697~c	PROTO-CUNEIFORM SIGN ZATU697-C
ZATU699~a	PROTO-CUNEIFORM SIGN ZATU699-A
ZATU699~b	PROTO-CUNEIFORM SIGN ZATU699-B
ZATU700	PROTO-CUNEIFORM SIGN ZATU700
ZATU701	PROTO-CUNEIFORM SIGN ZATU701
ZATU702	PROTO-CUNEIFORM SIGN ZATU702
ZATU703	PROTO-CUNEIFORM SIGN ZATU703
ZATU704	PROTO-CUNEIFORM SIGN ZATU704
ZATU705	PROTO-CUNEIFORM SIGN ZATU705
ZATU706	PROTO-CUNEIFORM SIGN ZATU706
ZATU707~a	PROTO-CUNEIFORM SIGN ZATU707-A
ZATU707~b	PROTO-CUNEIFORM SIGN ZATU707-B
ZATU708	PROTO-CUNEIFORM SIGN ZATU708
ZATU709	PROTO-CUNEIFORM SIGN ZATU709
ZATU710	PROTO-CUNEIFORM SIGN ZATU710
ZATU710~v1	PROTO-CUNEIFORM SIGN ZATU710 VARIANT 1
ZATU711	PROTO-CUNEIFORM SIGN ZATU711
ZATU711~v1	PROTO-CUNEIFORM SIGN ZATU711 VARIANT 1
|ZATU711~v1×HI@g~a|	PROTO-CUNEIFORM SIGN ZATU711 VARIANT 1 TIMES HI GUNU-A
|ZATU711~v1×X|	PROTO-CUNEIFORM SIGN ZATU711 VARIANT 1 TIMES X
ZATU713	PROTO-CUNEIFORM SIGN ZATU713
ZATU714	PROTO-CUNEIFORM SIGN ZATU714
|ZATU714.RU|	PROTO-CUNEIFORM SIGN ZATU714 BESIDE RU
|ZATU714×HI@g~a|	PROTO-CUNEIFORM SIGN ZATU714 TIMES HI GUNU-A
|ZATU714×X|	PROTO-CUNEIFORM SIGN ZATU714 TIMES X
ZATU717	PROTO-CUNEIFORM SIGN ZATU717
ZATU718	PROTO-CUNEIFORM SIGN ZATU718
ZATU719	PROTO-CUNEIFORM SIGN ZATU719
ZATU720	PROTO-CUNEIFORM SIGN ZATU720
ZATU721	PROTO-CUNEIFORM SIGN ZATU721
ZATU722	PROTO-CUNEIFORM SIGN ZATU722
