A	PROTO-CUNEIFORM SIGN A
ZATU859	PROTO-CUNEIFORM SIGN ZATU859
ZI~a	PROTO-CUNEIFORM SIGN ZI-A
ZI~b	PROTO-CUNEIFORM SIGN ZI-B
ZI~d	PROTO-CUNEIFORM SIGN ZI-D
|(ZU&ZU).SAR~a|	PROTO-CUNEIFORM SIGN ZU OVER ZU BESIDE SAR-A
ZUBI~a	PROTO-CUNEIFORM SIGN ZUBI-A
ZUBI~b	PROTO-CUNEIFORM SIGN ZUBI-B
2(LAGAB~a)	PROTO-CUNEIFORM NUMBER TWO-LAGAB-A
3(LAGAB~a)	PROTO-CUNEIFORM NUMBER THREE-LAGAB-A
4(LAGAB~a)	PROTO-CUNEIFORM NUMBER FOUR-LAGAB-A
5(LAGAB~a)	PROTO-CUNEIFORM NUMBER FIVE-LAGAB-A
6(LAGAB~a)	PROTO-CUNEIFORM NUMBER SIX-LAGAB-A
1(N01)	PROTO-CUNEIFORM NUMBER ONE-N1
2(N01)	PROTO-CUNEIFORM NUMBER TWO-N1
3(N01)	PROTO-CUNEIFORM NUMBER THREE-N1
4(N01)	PROTO-CUNEIFORM NUMBER FOUR-N1
5(N01)	PROTO-CUNEIFORM NUMBER FIVE-N1
6(N01)	PROTO-CUNEIFORM NUMBER SIX-N1
7(N01)	PROTO-CUNEIFORM NUMBER SEVEN-N1
8(N01)	PROTO-CUNEIFORM NUMBER EIGHT-N1
9(N01)	PROTO-CUNEIFORM NUMBER NINE-N1
10(N01)	PROTO-CUNEIFORM NUMBER ONE-N1
1(N01@f)	PROTO-CUNEIFORM NUMBER ONE-N1 FLAT
2(N01@f)	PROTO-CUNEIFORM NUMBER TWO-N1 FLAT
3(N01@f)	PROTO-CUNEIFORM NUMBER THREE-N1 FLAT
4(N01@f)	PROTO-CUNEIFORM NUMBER FOUR-N1 FLAT
5(N01@f)	PROTO-CUNEIFORM NUMBER FIVE-N1 FLAT
6(N01@f)	PROTO-CUNEIFORM NUMBER SIX-N1 FLAT
7(N01@f)	PROTO-CUNEIFORM NUMBER SEVEN-N1 FLAT
8(N01@f)	PROTO-CUNEIFORM NUMBER EIGHT-N1 FLAT
9(N01@f)	PROTO-CUNEIFORM NUMBER NINE-N1 FLAT
1(N01@r)	PROTO-CUNEIFORM NUMBER ONE-N1 REVERSED
1(N02)	PROTO-CUNEIFORM NUMBER ONE-N2
2(N02)	PROTO-CUNEIFORM NUMBER TWO-N2
3(N02)	PROTO-CUNEIFORM NUMBER THREE-N2
4(N02)	PROTO-CUNEIFORM NUMBER FOUR-N2
5(N02)	PROTO-CUNEIFORM NUMBER FIVE-N2
6(N02)	PROTO-CUNEIFORM NUMBER SIX-N2
7(N02)	PROTO-CUNEIFORM NUMBER SEVEN-N2
8(N02)	PROTO-CUNEIFORM NUMBER EIGHT-N2
9(N02)	PROTO-CUNEIFORM NUMBER NINE-N2
1(N03)	PROTO-CUNEIFORM NUMBER ONE-N3
2(N03)	PROTO-CUNEIFORM NUMBER TWO-N3
3(N03)	PROTO-CUNEIFORM NUMBER THREE-N3
4(N03)	PROTO-CUNEIFORM NUMBER FOUR-N3
5(N03)	PROTO-CUNEIFORM NUMBER FIVE-N3
1(N04)	PROTO-CUNEIFORM NUMBER ONE-N4
2(N04)	PROTO-CUNEIFORM NUMBER TWO-N4
3(N04)	PROTO-CUNEIFORM NUMBER THREE-N4
4(N04)	PROTO-CUNEIFORM NUMBER FOUR-N4
5(N04)	PROTO-CUNEIFORM NUMBER FIVE-N4
1(N04@f)	PROTO-CUNEIFORM NUMBER ONE-N4 FLAT
2(N04@f)	PROTO-CUNEIFORM NUMBER TWO-N4 FLAT
3(N04@f)	PROTO-CUNEIFORM NUMBER THREE-N4 FLAT
4(N04@f)	PROTO-CUNEIFORM NUMBER FOUR-N4 FLAT
5(N04@f)	PROTO-CUNEIFORM NUMBER FIVE-N4 FLAT
1(N05)	PROTO-CUNEIFORM NUMBER ONE-N5
2(N05)	PROTO-CUNEIFORM NUMBER TWO-N5
3(N05)	PROTO-CUNEIFORM NUMBER THREE-N5
4(N05)	PROTO-CUNEIFORM NUMBER FOUR-N5
5(N05)	PROTO-CUNEIFORM NUMBER FIVE-N5
1(N06)	PROTO-CUNEIFORM NUMBER ONE-N6
2(N06)	PROTO-CUNEIFORM NUMBER TWO-N6
3(N06)	PROTO-CUNEIFORM NUMBER THREE-N6
4(N06)	PROTO-CUNEIFORM NUMBER FOUR-N6
5(N06)	PROTO-CUNEIFORM NUMBER FIVE-N6
6(N06)	PROTO-CUNEIFORM NUMBER SIX-N6
7(N06)	PROTO-CUNEIFORM NUMBER SEVEN-N6
8(N06)	PROTO-CUNEIFORM NUMBER EIGHT-N6
9(N06)	PROTO-CUNEIFORM NUMBER NINE-N6
1(N07A)	PROTO-CUNEIFORM NUMBER ONE-N7A
2(N07A)	PROTO-CUNEIFORM NUMBER TWO-N7A
3(N07A)	PROTO-CUNEIFORM NUMBER THREE-N7A
1(N07B)	PROTO-CUNEIFORM NUMBER ONE-N7B
2(N07B)	PROTO-CUNEIFORM NUMBER TWO-N7B
3(N07B)	PROTO-CUNEIFORM NUMBER THREE-N7B
1(N08)	PROTO-CUNEIFORM NUMBER ONE-N8
2(N08)	PROTO-CUNEIFORM NUMBER TWO-N8
3(N08)	PROTO-CUNEIFORM NUMBER THREE-N8
4(N08)	PROTO-CUNEIFORM NUMBER FOUR-N8
5(N08)	PROTO-CUNEIFORM NUMBER FIVE-N8
6(N08)	PROTO-CUNEIFORM NUMBER SIX-N8
7(N08)	PROTO-CUNEIFORM NUMBER SEVEN-N8
8(N08)	PROTO-CUNEIFORM NUMBER EIGHT-N8
9(N08)	PROTO-CUNEIFORM NUMBER NINE-N8
1(N08~b)	PROTO-CUNEIFORM NUMBER ONE-N8-B
2(N08~b)	PROTO-CUNEIFORM NUMBER TWO-N8-B
3(N08~b)	PROTO-CUNEIFORM NUMBER THREE-N8-B
4(N08~b)	PROTO-CUNEIFORM NUMBER FOUR-N8-B
4(N08~c)	PROTO-CUNEIFORM NUMBER FOUR-N8-C
1(N08~v)	PROTO-CUNEIFORM NUMBER ONE-N8-V
1(N08@f)	PROTO-CUNEIFORM NUMBER ONE-N8 FLAT
1(N09)	PROTO-CUNEIFORM NUMBER ONE-N9
1(N11)	PROTO-CUNEIFORM NUMBER ONE-N11
1(N12)	PROTO-CUNEIFORM NUMBER ONE-N12
1(N14)	PROTO-CUNEIFORM NUMBER ONE-N14
2(N14)	PROTO-CUNEIFORM NUMBER TWO-N14
3(N14)	PROTO-CUNEIFORM NUMBER THREE-N14
4(N14)	PROTO-CUNEIFORM NUMBER FOUR-N14
5(N14)	PROTO-CUNEIFORM NUMBER FIVE-N14
6(N14)	PROTO-CUNEIFORM NUMBER SIX-N14
7(N14)	PROTO-CUNEIFORM NUMBER SEVEN-N14
8(N14)	PROTO-CUNEIFORM NUMBER EIGHT-N14
9(N14)	PROTO-CUNEIFORM NUMBER NINE-N14
10(N14)	PROTO-CUNEIFORM NUMBER ONE-N14
11(N14)	PROTO-CUNEIFORM NUMBER ONE-N14
12(N14)	PROTO-CUNEIFORM NUMBER ONE-N14
22(N14)	PROTO-CUNEIFORM NUMBER TWO-N14
1(N14@f)	PROTO-CUNEIFORM NUMBER ONE-N14 FLAT
2(N14@f)	PROTO-CUNEIFORM NUMBER TWO-N14 FLAT
3(N14@f)	PROTO-CUNEIFORM NUMBER THREE-N14 FLAT
4(N14@f)	PROTO-CUNEIFORM NUMBER FOUR-N14 FLAT
5(N14@f)	PROTO-CUNEIFORM NUMBER FIVE-N14 FLAT
6(N14@f)	PROTO-CUNEIFORM NUMBER SIX-N14 FLAT
7(N14@f)	PROTO-CUNEIFORM NUMBER SEVEN-N14 FLAT
8(N14@f)	PROTO-CUNEIFORM NUMBER EIGHT-N14 FLAT
9(N14@f)	PROTO-CUNEIFORM NUMBER NINE-N14 FLAT
10(N14@f)	PROTO-CUNEIFORM NUMBER ONE-N14 FLAT
1(N15)	PROTO-CUNEIFORM NUMBER ONE-N15
2(N15)	PROTO-CUNEIFORM NUMBER TWO-N15
3(N15)	PROTO-CUNEIFORM NUMBER THREE-N15
4(N15)	PROTO-CUNEIFORM NUMBER FOUR-N15
5(N15)	PROTO-CUNEIFORM NUMBER FIVE-N15
1(N16)	PROTO-CUNEIFORM NUMBER ONE-N16
1(N17)	PROTO-CUNEIFORM NUMBER ONE-N17
1(N18)	PROTO-CUNEIFORM NUMBER ONE-N18
2(N18)	PROTO-CUNEIFORM NUMBER TWO-N18
3(N18)	PROTO-CUNEIFORM NUMBER THREE-N18
4(N18)	PROTO-CUNEIFORM NUMBER FOUR-N18
5(N18)	PROTO-CUNEIFORM NUMBER FIVE-N18
6(N18)	PROTO-CUNEIFORM NUMBER SIX-N18
7(N18)	PROTO-CUNEIFORM NUMBER SEVEN-N18
8(N18)	PROTO-CUNEIFORM NUMBER EIGHT-N18
9(N18)	PROTO-CUNEIFORM NUMBER NINE-N18
1(N19)	PROTO-CUNEIFORM NUMBER ONE-N19
2(N19)	PROTO-CUNEIFORM NUMBER TWO-N19
3(N19)	PROTO-CUNEIFORM NUMBER THREE-N19
4(N19)	PROTO-CUNEIFORM NUMBER FOUR-N19
5(N19)	PROTO-CUNEIFORM NUMBER FIVE-N19
6(N19)	PROTO-CUNEIFORM NUMBER SIX-N19
7(N19)	PROTO-CUNEIFORM NUMBER SEVEN-N19
8(N19)	PROTO-CUNEIFORM NUMBER EIGHT-N19
9(N19)	PROTO-CUNEIFORM NUMBER NINE-N19
9(N19)~v	PROTO-CUNEIFORM NUMBER NINE-N19-V
1(N19@f)	PROTO-CUNEIFORM NUMBER ONE-N19 FLAT
2(N19@f)	PROTO-CUNEIFORM NUMBER TWO-N19 FLAT
3(N19@f)	PROTO-CUNEIFORM NUMBER THREE-N19 FLAT
4(N19@f)	PROTO-CUNEIFORM NUMBER FOUR-N19 FLAT
5(N19@f)	PROTO-CUNEIFORM NUMBER FIVE-N19 FLAT
6(N19@f)	PROTO-CUNEIFORM NUMBER SIX-N19 FLAT
7(N19@f)	PROTO-CUNEIFORM NUMBER SEVEN-N19 FLAT
8(N19@f)	PROTO-CUNEIFORM NUMBER EIGHT-N19 FLAT
9(N19@f)	PROTO-CUNEIFORM NUMBER NINE-N19 FLAT
1(N20)	PROTO-CUNEIFORM NUMBER ONE-N20
2(N20)	PROTO-CUNEIFORM NUMBER TWO-N20
3(N20)	PROTO-CUNEIFORM NUMBER THREE-N20
4(N20)	PROTO-CUNEIFORM NUMBER FOUR-N20
5(N20)	PROTO-CUNEIFORM NUMBER FIVE-N20
6(N20)	PROTO-CUNEIFORM NUMBER SIX-N20
7(N20)	PROTO-CUNEIFORM NUMBER SEVEN-N20
8(N20)	PROTO-CUNEIFORM NUMBER EIGHT-N20
9(N20)	PROTO-CUNEIFORM NUMBER NINE-N20
1(N21)	PROTO-CUNEIFORM NUMBER ONE-N21
2(N21)	PROTO-CUNEIFORM NUMBER TWO-N21
3(N21)	PROTO-CUNEIFORM NUMBER THREE-N21
4(N21)	PROTO-CUNEIFORM NUMBER FOUR-N21
5(N21)	PROTO-CUNEIFORM NUMBER FIVE-N21
6(N21)	PROTO-CUNEIFORM NUMBER SIX-N21
1(N22)	PROTO-CUNEIFORM NUMBER ONE-N22
2(N22)	PROTO-CUNEIFORM NUMBER TWO-N22
1(N22~v)	PROTO-CUNEIFORM NUMBER ONE-N22-V
1(N22@f)	PROTO-CUNEIFORM NUMBER ONE-N22 FLAT
2(N22@f)	PROTO-CUNEIFORM NUMBER TWO-N22 FLAT
1(N23)	PROTO-CUNEIFORM NUMBER ONE-N23
2(N23)	PROTO-CUNEIFORM NUMBER TWO-N23
3(N23)	PROTO-CUNEIFORM NUMBER THREE-N23
5(N23)	PROTO-CUNEIFORM NUMBER FIVE-N23
7(N23)	PROTO-CUNEIFORM NUMBER SEVEN-N23
1(N24)	PROTO-CUNEIFORM NUMBER ONE-N24
2(N24)	PROTO-CUNEIFORM NUMBER TWO-N24
4(N24)	PROTO-CUNEIFORM NUMBER FOUR-N24
6(N24)	PROTO-CUNEIFORM NUMBER SIX-N24
1(N24@f)	PROTO-CUNEIFORM NUMBER ONE-N24 FLAT
1(N24A)	PROTO-CUNEIFORM NUMBER ONE-N24A
1(N24B)	PROTO-CUNEIFORM NUMBER ONE-N24B
1(N25)	PROTO-CUNEIFORM NUMBER ONE-N25
1(N26)	PROTO-CUNEIFORM NUMBER ONE-N26
1(N26B)	PROTO-CUNEIFORM NUMBER ONE-N26B
1(N27)	PROTO-CUNEIFORM NUMBER ONE-N27
1(N28)	PROTO-CUNEIFORM NUMBER ONE-N28
1(N28B)	PROTO-CUNEIFORM NUMBER ONE-N28B
1(N28C)	PROTO-CUNEIFORM NUMBER ONE-N28C
1(N29A)	PROTO-CUNEIFORM NUMBER ONE-N29A
2(N29A)	PROTO-CUNEIFORM NUMBER TWO-N29A
1(N29AB)	PROTO-CUNEIFORM NUMBER ONE-N29AB
2(N29AB)	PROTO-CUNEIFORM NUMBER TWO-N29AB
1(N29AC)	PROTO-CUNEIFORM NUMBER ONE-N29AC
1(N29B)	PROTO-CUNEIFORM NUMBER ONE-N29B
2(N29B)	PROTO-CUNEIFORM NUMBER TWO-N29B
1(N29C)	PROTO-CUNEIFORM NUMBER ONE-N29C
1(N30A)	PROTO-CUNEIFORM NUMBER ONE-N30A
1(N30AC)	PROTO-CUNEIFORM NUMBER ONE-N30AC
1(N30B)	PROTO-CUNEIFORM NUMBER ONE-N30B
1(N30C)	PROTO-CUNEIFORM NUMBER ONE-N30C
1(N30CA)	PROTO-CUNEIFORM NUMBER ONE-N30CA
1(N30CB)	PROTO-CUNEIFORM NUMBER ONE-N30CB
1(N30CC)	PROTO-CUNEIFORM NUMBER ONE-N30CC
1(N30D)	PROTO-CUNEIFORM NUMBER ONE-N30D
1(N30E)	PROTO-CUNEIFORM NUMBER ONE-N30E
1(N31)	PROTO-CUNEIFORM NUMBER ONE-N31
1(N32)	PROTO-CUNEIFORM NUMBER ONE-N32
1(N33)	PROTO-CUNEIFORM NUMBER ONE-N33
1(N34)	PROTO-CUNEIFORM NUMBER ONE-N34
|1(N34)×1(N58)|	PROTO-CUNEIFORM SIGN ONE-N34 TIMES ONE-N58
2(N34)	PROTO-CUNEIFORM NUMBER TWO-N34
3(N34)	PROTO-CUNEIFORM NUMBER THREE-N34
4(N34)	PROTO-CUNEIFORM NUMBER FOUR-N34
5(N34)	PROTO-CUNEIFORM NUMBER FIVE-N34
6(N34)	PROTO-CUNEIFORM NUMBER SIX-N34
7(N34)	PROTO-CUNEIFORM NUMBER SEVEN-N34
8(N34)	PROTO-CUNEIFORM NUMBER EIGHT-N34
9(N34)	PROTO-CUNEIFORM NUMBER NINE-N34
1(N34@f)	PROTO-CUNEIFORM NUMBER ONE-N34 FLAT
2(N34@f)	PROTO-CUNEIFORM NUMBER TWO-N34 FLAT
3(N34@f)	PROTO-CUNEIFORM NUMBER THREE-N34 FLAT
4(N34@f)	PROTO-CUNEIFORM NUMBER FOUR-N34 FLAT
5(N34@f)	PROTO-CUNEIFORM NUMBER FIVE-N34 FLAT
6(N34@f)	PROTO-CUNEIFORM NUMBER SIX-N34 FLAT
7(N34@f)	PROTO-CUNEIFORM NUMBER SEVEN-N34 FLAT
8(N34@f)	PROTO-CUNEIFORM NUMBER EIGHT-N34 FLAT
9(N34@f)	PROTO-CUNEIFORM NUMBER NINE-N34 FLAT
1(N34@f@t)	PROTO-CUNEIFORM NUMBER ONE-N34 FLAT TENU
1(N35)	PROTO-CUNEIFORM NUMBER ONE-N35
2(N35)	PROTO-CUNEIFORM NUMBER TWO-N35
3(N35)	PROTO-CUNEIFORM NUMBER THREE-N35
4(N35)	PROTO-CUNEIFORM NUMBER FOUR-N35
5(N35)	PROTO-CUNEIFORM NUMBER FIVE-N35
1(N36)	PROTO-CUNEIFORM NUMBER ONE-N36
2(N36)	PROTO-CUNEIFORM NUMBER TWO-N36
3(N36)	PROTO-CUNEIFORM NUMBER THREE-N36
4(N36)	PROTO-CUNEIFORM NUMBER FOUR-N36
5(N36)	PROTO-CUNEIFORM NUMBER FIVE-N36
6(N36)	PROTO-CUNEIFORM NUMBER SIX-N36
7(N36)	PROTO-CUNEIFORM NUMBER SEVEN-N36
8(N36)	PROTO-CUNEIFORM NUMBER EIGHT-N36
9(N36)	PROTO-CUNEIFORM NUMBER NINE-N36
1(N36@f)	PROTO-CUNEIFORM NUMBER ONE-N36 FLAT
1(N37)	PROTO-CUNEIFORM NUMBER ONE-N37
2(N37)	PROTO-CUNEIFORM NUMBER TWO-N37
1(N38)	PROTO-CUNEIFORM NUMBER ONE-N38
1(N39A)	PROTO-CUNEIFORM NUMBER ONE-N39A
2(N39A)	PROTO-CUNEIFORM NUMBER TWO-N39A
3(N39A)	PROTO-CUNEIFORM NUMBER THREE-N39A
4(N39A)	PROTO-CUNEIFORM NUMBER FOUR-N39A
1(N39B)	PROTO-CUNEIFORM NUMBER ONE-N39B
2(N39B)	PROTO-CUNEIFORM NUMBER TWO-N39B
3(N39B)	PROTO-CUNEIFORM NUMBER THREE-N39B
4(N39B)	PROTO-CUNEIFORM NUMBER FOUR-N39B
1(N40)	PROTO-CUNEIFORM NUMBER ONE-N40
2(N40)	PROTO-CUNEIFORM NUMBER TWO-N40
3(N40)	PROTO-CUNEIFORM NUMBER THREE-N40
4(N40)	PROTO-CUNEIFORM NUMBER FOUR-N40
1(N41)	PROTO-CUNEIFORM NUMBER ONE-N41
2(N41)	PROTO-CUNEIFORM NUMBER TWO-N41
3(N41)	PROTO-CUNEIFORM NUMBER THREE-N41
4(N41)	PROTO-CUNEIFORM NUMBER FOUR-N41
1(N42A)	PROTO-CUNEIFORM NUMBER ONE-N42A
2(N42A)	PROTO-CUNEIFORM NUMBER TWO-N42A
3(N42A)	PROTO-CUNEIFORM NUMBER THREE-N42A
4(N42A)	PROTO-CUNEIFORM NUMBER FOUR-N42A
1(N42B)	PROTO-CUNEIFORM NUMBER ONE-N42B
2(N42B)	PROTO-CUNEIFORM NUMBER TWO-N42B
3(N42B)	PROTO-CUNEIFORM NUMBER THREE-N42B
4(N42B)	PROTO-CUNEIFORM NUMBER FOUR-N42B
1(N43)	PROTO-CUNEIFORM NUMBER ONE-N43
4(N43)	PROTO-CUNEIFORM NUMBER FOUR-N43
1(N44)	PROTO-CUNEIFORM NUMBER ONE-N44
1(N45)	PROTO-CUNEIFORM NUMBER ONE-N45
2(N45)	PROTO-CUNEIFORM NUMBER TWO-N45
3(N45)	PROTO-CUNEIFORM NUMBER THREE-N45
4(N45)	PROTO-CUNEIFORM NUMBER FOUR-N45
5(N45)	PROTO-CUNEIFORM NUMBER FIVE-N45
6(N45)	PROTO-CUNEIFORM NUMBER SIX-N45
7(N45)	PROTO-CUNEIFORM NUMBER SEVEN-N45
8(N45)	PROTO-CUNEIFORM NUMBER EIGHT-N45
9(N45)	PROTO-CUNEIFORM NUMBER NINE-N45
1(N45@f)	PROTO-CUNEIFORM NUMBER ONE-N45 FLAT
2(N45@f)	PROTO-CUNEIFORM NUMBER TWO-N45 FLAT
3(N45@f)	PROTO-CUNEIFORM NUMBER THREE-N45 FLAT
4(N45@f)	PROTO-CUNEIFORM NUMBER FOUR-N45 FLAT
5(N45@f)	PROTO-CUNEIFORM NUMBER FIVE-N45 FLAT
6(N45@f)	PROTO-CUNEIFORM NUMBER SIX-N45 FLAT
7(N45@f)	PROTO-CUNEIFORM NUMBER SEVEN-N45 FLAT
8(N45@f)	PROTO-CUNEIFORM NUMBER EIGHT-N45 FLAT
9(N45@f)	PROTO-CUNEIFORM NUMBER NINE-N45 FLAT
1(N45A)	PROTO-CUNEIFORM NUMBER ONE-N45A
1(N46)	PROTO-CUNEIFORM NUMBER ONE-N46
2(N46)	PROTO-CUNEIFORM NUMBER TWO-N46
3(N46)	PROTO-CUNEIFORM NUMBER THREE-N46
1(N46@f)	PROTO-CUNEIFORM NUMBER ONE-N46 FLAT
2(N46@f)	PROTO-CUNEIFORM NUMBER TWO-N46 FLAT
1(N47)	PROTO-CUNEIFORM NUMBER ONE-N47
2(N47)	PROTO-CUNEIFORM NUMBER TWO-N47
3(N47)	PROTO-CUNEIFORM NUMBER THREE-N47
1(N48)	PROTO-CUNEIFORM NUMBER ONE-N48
2(N48)	PROTO-CUNEIFORM NUMBER TWO-N48
3(N48)	PROTO-CUNEIFORM NUMBER THREE-N48
4(N48)	PROTO-CUNEIFORM NUMBER FOUR-N48
5(N48)	PROTO-CUNEIFORM NUMBER FIVE-N48
6(N48)	PROTO-CUNEIFORM NUMBER SIX-N48
7(N48)	PROTO-CUNEIFORM NUMBER SEVEN-N48
1(N48@f)	PROTO-CUNEIFORM NUMBER ONE-N48 FLAT
1(N49)	PROTO-CUNEIFORM NUMBER ONE-N49
2(N49)	PROTO-CUNEIFORM NUMBER TWO-N49
3(N49)	PROTO-CUNEIFORM NUMBER THREE-N49
4(N49)	PROTO-CUNEIFORM NUMBER FOUR-N49
5(N49)	PROTO-CUNEIFORM NUMBER FIVE-N49
1(N50)	PROTO-CUNEIFORM NUMBER ONE-N50
2(N50)	PROTO-CUNEIFORM NUMBER TWO-N50
3(N50)	PROTO-CUNEIFORM NUMBER THREE-N50
4(N50)	PROTO-CUNEIFORM NUMBER FOUR-N50
5(N50)	PROTO-CUNEIFORM NUMBER FIVE-N50
1(N51)	PROTO-CUNEIFORM NUMBER ONE-N51
2(N51)	PROTO-CUNEIFORM NUMBER TWO-N51
3(N51)	PROTO-CUNEIFORM NUMBER THREE-N51
4(N51)	PROTO-CUNEIFORM NUMBER FOUR-N51
5(N51)	PROTO-CUNEIFORM NUMBER FIVE-N51
6(N51)	PROTO-CUNEIFORM NUMBER SIX-N51
7(N51)	PROTO-CUNEIFORM NUMBER SEVEN-N51
8(N51)	PROTO-CUNEIFORM NUMBER EIGHT-N51
9(N51)	PROTO-CUNEIFORM NUMBER NINE-N51
1(N51@f)	PROTO-CUNEIFORM NUMBER ONE-N51 FLAT
2(N51@f)	PROTO-CUNEIFORM NUMBER TWO-N51 FLAT
3(N51@f)	PROTO-CUNEIFORM NUMBER THREE-N51 FLAT
4(N51@f)	PROTO-CUNEIFORM NUMBER FOUR-N51 FLAT
5(N51@f)	PROTO-CUNEIFORM NUMBER FIVE-N51 FLAT
6(N51@f)	PROTO-CUNEIFORM NUMBER SIX-N51 FLAT
7(N51@f)	PROTO-CUNEIFORM NUMBER SEVEN-N51 FLAT
8(N51@f)	PROTO-CUNEIFORM NUMBER EIGHT-N51 FLAT
9(N51@f)	PROTO-CUNEIFORM NUMBER NINE-N51 FLAT
1(N52)	PROTO-CUNEIFORM NUMBER ONE-N52
2(N52)	PROTO-CUNEIFORM NUMBER TWO-N52
3(N52)	PROTO-CUNEIFORM NUMBER THREE-N52
4(N52)	PROTO-CUNEIFORM NUMBER FOUR-N52
5(N52)	PROTO-CUNEIFORM NUMBER FIVE-N52
6(N52)	PROTO-CUNEIFORM NUMBER SIX-N52
7(N52)	PROTO-CUNEIFORM NUMBER SEVEN-N52
8(N52)	PROTO-CUNEIFORM NUMBER EIGHT-N52
9(N52)	PROTO-CUNEIFORM NUMBER NINE-N52
3(N53)	PROTO-CUNEIFORM NUMBER THREE-N53
1(N54)	PROTO-CUNEIFORM NUMBER ONE-N54
2(N54)	PROTO-CUNEIFORM NUMBER TWO-N54
3(N54)	PROTO-CUNEIFORM NUMBER THREE-N54
4(N54)	PROTO-CUNEIFORM NUMBER FOUR-N54
5(N54)	PROTO-CUNEIFORM NUMBER FIVE-N54
1(N55)	PROTO-CUNEIFORM NUMBER ONE-N55
1(N56)	PROTO-CUNEIFORM NUMBER ONE-N56
2(N56)	PROTO-CUNEIFORM NUMBER TWO-N56
1(N57)	PROTO-CUNEIFORM NUMBER ONE-N57
2(N57)	PROTO-CUNEIFORM NUMBER TWO-N57
2(N57)~v	PROTO-CUNEIFORM NUMBER TWO-N57-V
3(N57)	PROTO-CUNEIFORM NUMBER THREE-N57
4(N57)	PROTO-CUNEIFORM NUMBER FOUR-N57
5(N57)	PROTO-CUNEIFORM NUMBER FIVE-N57
6(N57)	PROTO-CUNEIFORM NUMBER SIX-N57
6(N57)~v	PROTO-CUNEIFORM NUMBER SIX-N57-V
7(N57)	PROTO-CUNEIFORM NUMBER SEVEN-N57
8(N57)	PROTO-CUNEIFORM NUMBER EIGHT-N57
9(N57)	PROTO-CUNEIFORM NUMBER NINE-N57
10(N57)	PROTO-CUNEIFORM NUMBER ONE-N57
1(N58)	PROTO-CUNEIFORM NUMBER ONE-N58
2(N58)	PROTO-CUNEIFORM NUMBER TWO-N58
3(N58)	PROTO-CUNEIFORM NUMBER THREE-N58
4(N58)	PROTO-CUNEIFORM NUMBER FOUR-N58
5(N58)	PROTO-CUNEIFORM NUMBER FIVE-N58
8(N58)	PROTO-CUNEIFORM NUMBER EIGHT-N58
9(N58)	PROTO-CUNEIFORM NUMBER NINE-N58
10(N58)	PROTO-CUNEIFORM NUMBER ONE-N58
12(N58)	PROTO-CUNEIFORM NUMBER ONE-N58
1(N58@t)	PROTO-CUNEIFORM NUMBER ONE-N58 TENU
1(N59)	PROTO-CUNEIFORM NUMBER ONE-N59
2(N59)	PROTO-CUNEIFORM NUMBER TWO-N59
3(N59)	PROTO-CUNEIFORM NUMBER THREE-N59
4(N59)	PROTO-CUNEIFORM NUMBER FOUR-N59
6(N59)	PROTO-CUNEIFORM NUMBER SIX-N59
7(N59)	PROTO-CUNEIFORM NUMBER SEVEN-N59
1(N60)	PROTO-CUNEIFORM NUMBER ONE-N60
3(N61)	PROTO-CUNEIFORM NUMBER THREE-N61
4(N62)	PROTO-CUNEIFORM NUMBER FOUR-N62
1(N63)	PROTO-CUNEIFORM NUMBER ONE-N63
